,film,actor,year
28,The Chronicles of Narnia: The Voyage of the Dawn Treader,Liam Neeson,2010
28,The Chronicles of Narnia: The Voyage of the Dawn Treader,Will Poulter,2010
28,The Chronicles of Narnia: The Voyage of the Dawn Treader,Simon Pegg,2010
29,City Island,Andy García,2010
29,City Island,Julianna Margulies,2010
29,City Island,Steven Strait,2010
29,City Island,Alan Arkin,2010
29,City Island,Emily Mortimer,2010
30,Clash of the Titans,Sam Worthington,2010
30,Clash of the Titans,Gemma Arterton,2010
30,Clash of the Titans,Mads Mikkelsen,2010
30,Clash of the Titans,Alexa Davalos,2010
30,Clash of the Titans,Jason Flemyng,2010
30,Clash of the Titans,Nicholas Hoult,2010
30,Clash of the Titans,Danny Huston,2010
30,Clash of the Titans,Izabella Miko,2010
30,Clash of the Titans,Pete Postlethwaite,2010
30,Clash of the Titans,Polly Walker,2010
30,Clash of the Titans,Ralph Fiennes,2010
30,Clash of the Titans,Liam Neeson,2010
31,The Company Men,Ben Affleck,2010
31,The Company Men,Chris Cooper,2010
31,The Company Men,Kevin Costner,2010
31,The Company Men,Tommy Lee Jones,2010
31,The Company Men,Maria Bello,2010
31,The Company Men,Rosemarie DeWitt,2010
32,Conviction,Hilary Swank,2010
32,Conviction,Sam Rockwell,2010
32,Conviction,Minnie Driver,2010
32,Conviction,Melissa Leo,2010
32,Conviction,Peter Gallagher,2010
32,Conviction,Juliette Lewis,2010
33,Cop Out,Bruce Willis,2010
33,Cop Out,Tracy Morgan,2010
33,Cop Out,Adam Brody,2010
33,Cop Out,Kevin Pollak,2010
33,Cop Out,Guillermo Diaz,2010
33,Cop Out,Seann William Scott,2010
35,Country Strong,Gwyneth Paltrow,2010
35,Country Strong,Tim McGraw,2010
35,Country Strong,Garrett Hedlund,2010
35,Country Strong,Leighton Meester,2010
36,The Crazies,Timothy Olyphant,2010
36,The Crazies,Radha Mitchell,2010
36,The Crazies,Joe Anderson,2010
36,The Crazies,Danielle Panabaker,2010
37,Crazy on the Outside,Tim Allen,2010
37,Crazy on the Outside,Sigourney Weaver,2010
37,Crazy on the Outside,Jeanne Tripplehorn,2010
37,Crazy on the Outside,Julie Bowen,2010
37,Crazy on the Outside,Kelsey Grammer,2010
37,Crazy on the Outside,Ray Liotta,2010
38,Cyrus,Jonah Hill,2010
38,Cyrus,Marisa Tomei,2010
38,Cyrus,Catherine Keener,2010
39,Date Night,Steve Carell,2010
39,Date Night,Tina Fey,2010
40,Darkening Sky,Rider Strong,2010
40,Darkening Sky,Danica Stewart,2010
41,Daybreakers,Ethan Hawke,2010
41,Daybreakers,Willem Dafoe,2010
41,Daybreakers,Isabel Lucas,2010
41,Daybreakers,Sam Neill,2010
42,Dead Awake,Nick Stahl,2010
42,Dead Awake,Rose McGowan,2010
42,Dead Awake,Amy Smart,2010
43,Dear John,Channing Tatum,2010
43,Dear John,Henry Thomas,2010
43,Dear John,Scott Porter,2010
43,Dear John,Richard Jenkins,2010
44,Death at a Funeral,Loretta Devine,2010
44,Death at a Funeral,Peter Dinklage,2010
44,Death at a Funeral,Danny Glover,2010
44,Death at a Funeral,Regina Hall,2010
44,Death at a Funeral,Martin Lawrence,2010
44,Death at a Funeral,James Marsden,2010
44,Death at a Funeral,Tracy Morgan,2010
44,Death at a Funeral,Chris Rock,2010
44,Death at a Funeral,Zoe Saldana,2010
44,Death at a Funeral,Columbus Short,2010
44,Death at a Funeral,Luke Wilson,2010
45,Despicable Me,Steve Carell,2010
45,Despicable Me,Jason Segel,2010
45,Despicable Me,Kristen Wiig,2010
45,Despicable Me,Will Arnett,2010
45,Despicable Me,Ken Jeong,2010
45,Despicable Me,Danny McBride,2010
45,Despicable Me,Julie Andrews,2010
46,Devil,Chris Messina,2010
46,Devil,Logan Marshall-Green,2010
46,Devil,Geoffrey Arend,2010
46,Devil,Caroline Dhavernas,2010
46,Devil,Jacob Vargas,2010
46,Devil,Jenny O'Hara,2010
46,Devil,Bojana Novakovic,2010
46,Devil,Bokeem Woodbine,2010
47,Diary of a Wimpy Kid,Zachary Gordon,2010
47,Diary of a Wimpy Kid,Robert Capron,2010
47,Diary of a Wimpy Kid,Rachel Harris,2010
47,Diary of a Wimpy Kid,Steve Zahn,2010
47,Diary of a Wimpy Kid,Devon Bostick,2010
47,Diary of a Wimpy Kid,Chloë Grace Moretz,2010
48,Dinner for Schmucks,Steve Carell,2010
48,Dinner for Schmucks,Paul Rudd,2010
48,Dinner for Schmucks,Jemaine Clement,2010
48,Dinner for Schmucks,Jeff Dunham,2010
48,Dinner for Schmucks,Zach Galifianakis,2010
48,Dinner for Schmucks,Bruce Greenwood,2010
48,Dinner for Schmucks,Ron Livingston,2010
48,Dinner for Schmucks,Rick Overton,2010
48,Dinner for Schmucks,Lucy Punch,2010
48,Dinner for Schmucks,Andrea Savage,2010
48,Dinner for Schmucks,David Walliams,2010
49,Dirty Girl,Juno Temple,2011
49,Dirty Girl,Milla Jovovich,2011
49,Dirty Girl,Mary Steenburgen,2011
49,Dirty Girl,Dwight Yoakam,2011
50,Due Date,Zach Galifianakis,2010
50,Due Date,Michelle Monaghan,2010
50,Due Date,Juliette Lewis,2010
50,Due Date,Jamie Foxx,2010
50,Due Date,RZA,2010
50,Due Date,Alan Arkin,2010
50,Due Date,Matt Walsh,2010
50,Due Date,Danny McBride,2010
51,Easy A,Emma Stone,2010
51,Easy A,Penn Badgley,2010
51,Easy A,Thomas Haden Church,2010
51,Easy A,Patricia Clarkson,2010
51,Easy A,Lisa Kudrow,2010
51,Easy A,Malcolm McDowell,2010
51,Easy A,Aly Michalka,2010
52,Eat Pray Love,Julia Roberts,2010
52,Eat Pray Love,James Franco,2010
52,Eat Pray Love,Richard Jenkins,2010
52,Eat Pray Love,Viola Davis,2010
52,Eat Pray Love,Billy Crudup,2010
52,Eat Pray Love,Javier Bardem,2010
53,The Twilight Saga: Eclipse,Kristen Stewart,2010
53,The Twilight Saga: Eclipse,Robert Pattinson,2010
53,The Twilight Saga: Eclipse,Taylor Lautner,2010
53,The Twilight Saga: Eclipse,Ashley Greene,2010
53,The Twilight Saga: Eclipse,Peter Facinelli,2010
53,The Twilight Saga: Eclipse,Elizabeth Reaser,2010
53,The Twilight Saga: Eclipse,Kellan Lutz,2010
53,The Twilight Saga: Eclipse,Nikki Reed,2010
53,The Twilight Saga: Eclipse,Jackson Rathbone,2010
53,The Twilight Saga: Eclipse,Bryce Dallas Howard,2010
53,The Twilight Saga: Eclipse,Billy Burke,2010
53,The Twilight Saga: Eclipse,Dakota Fanning,2010
53,The Twilight Saga: Eclipse,Xavier Samuel,2010
53,The Twilight Saga: Eclipse,Julia Jones,2010
53,The Twilight Saga: Eclipse,Jack Huston,2010
54,Edge of Darkness,Mel Gibson,2010
54,Edge of Darkness,Ray Winstone,2010
54,Edge of Darkness,Danny Huston,2010
54,Edge of Darkness,Bojana Novakovic,2010
54,Edge of Darkness,Shawn Roberts,2010
54,Edge of Darkness,Gbenga Akinnagbe,2010
55,The Expendables,Sylvester Stallone,2010
55,The Expendables,Jason Statham,2010
55,The Expendables,Jet Li,2010
55,The Expendables,Dolph Lundgren,2010
55,The Expendables,Eric Roberts,2010
55,The Expendables,Steve Austin,2010
55,The Expendables,David Zayas,2010
55,The Expendables,Giselle Itié,2010
55,The Expendables,Charisma Carpenter,2010
55,The Expendables,Gary Daniels,2010
55,The Expendables,Terry Crews,2010
55,The Expendables,Mickey Rourke,2010
55,The Expendables,Bruce Willis,2010
55,The Expendables,Arnold Schwarzenegger,2010
56,The Extra Man,Kevin Kline,2010
56,The Extra Man,Paul Dano,2010
56,The Extra Man,Katie Holmes,2010
57,Extraordinary Measures,Brendan Fraser,2010
57,Extraordinary Measures,Harrison Ford,2010
57,Extraordinary Measures,Keri Russell,2010
58,Fair Game,Naomi Watts,2010
58,Fair Game,Sean Penn,2010
59,Faster,Dwayne Johnson,2010
59,Faster,Billy Bob Thornton,2010
59,Faster,Carla Gugino,2010
59,Faster,Maggie Grace,2010
59,Faster,Oliver Jackson-Cohen,2010
59,Faster,Moon Bloodgood,2010
60,The Fighter,Mark Wahlberg,2010
60,The Fighter,Christian Bale,2010
60,The Fighter,Amy Adams,2010
60,The Fighter,Melissa Leo,2010
61,Flipped,Madeline Carroll,2010
61,Flipped,Rebecca De Mornay,2010
61,Flipped,Anthony Edwards,2010
61,Flipped,John Mahoney,2010
61,Flipped,Callan McAuliffe,2010
61,Flipped,Penelope Ann Miller,2010
61,Flipped,Aidan Quinn,2010
61,Flipped,Kevin Weisman,2010
62,For Colored Girls,Janet Jackson,2010
62,For Colored Girls,Whoopi Goldberg,2010
62,For Colored Girls,Phylicia Rashad,2010
62,For Colored Girls,Anika Noni Rose,2010
62,For Colored Girls,Loretta Devine,2010
62,For Colored Girls,Kimberly Elise,2010
62,For Colored Girls,Kerry Washington,2010
64,From Paris with Love,John Travolta,2010
64,From Paris with Love,Jonathan Rhys Meyers,2010
65,Frozen,Kristen Bell,2013
65,Frozen,Idina Menzel,2013
65,Frozen,Jonathan Groff,2013
66,Furry Vengeance,Brendan Fraser,2010
66,Furry Vengeance,Brooke Shields,2010
66,Furry Vengeance,Dick Van Dyke,2010
66,Furry Vengeance,Ken Jeong,2010
66,Furry Vengeance,Rob Riggle,2010
66,Furry Vengeance,Angela Kinsey,2010
66,Furry Vengeance,Matt Prokop,2010
67,Game of Death,Wesley Snipes,2010
67,Game of Death,Zoë Bell,2010
67,Game of Death,Gary Daniels,2010
67,Game of Death,Robert Davi,2010
67,Game of Death,Ernie Hudson,2010
68,Get Him to the Greek,Jonah Hill,2010
68,Get Him to the Greek,Elisabeth Moss,2010
68,Get Him to the Greek,Rose Byrne,2010
68,Get Him to the Greek,Colm Meaney,2010
68,Get Him to the Greek,Sean Combs,2010
69,Get Low,Robert Duvall,2010
69,Get Low,Bill Murray,2010
69,Get Low,Sissy Spacek,2010
69,Get Low,Lucas Black,2010
70,Going the Distance,Drew Barrymore,2010
70,Going the Distance,Charlie Day,2010
70,Going the Distance,Jason Sudeikis,2010
70,Going the Distance,Ron Livingston,2010
70,Going the Distance,Rob Riggle,2010
70,Going the Distance,Christina Applegate,2010
70,Going the Distance,Kelli Garner,2010
70,Going the Distance,Natalie Morales,2010
70,Going the Distance,June Diane Raphael,2010
70,Going the Distance,Kristen Schaal,2010
70,Going the Distance,Jim Gaffigan,2010
70,Going the Distance,Sarah Burns,2010
